[
County Code Residence,County Name,County Code Place of Work,County Name,Workers in Commuting Flow
72105,Naranjito Municipio,72137,Toa Baja Municipio,210
72135,Toa Alta Municipio,72025,Caguas Municipio,209
72054,Florida Municipio,72127,San Juan Municipio,208
72073,Jayuya Municipio,72113,Ponce Municipio,208
72009,Aibonito Municipio,72019,Barranquitas Municipio,207
72013,Arecibo Municipio,72061,Guaynabo Municipio,205
72047,Corozal Municipio,72019,Barranquitas Municipio,205
72081,Lares Municipio,72127,San Juan Municipio,205
72135,Toa Alta Municipio,72047,Corozal Municipio,204
72151,Yabucoa Municipio,72127,San Juan Municipio,204
72103,Naguabo Municipio,72085,Las Piedras Municipio,203
72143,Vega Alta Municipio,72033,Catano Municipio,203
72035,Cayey Municipio,72057,Guayama Municipio,202
72071,Isabela Municipio,72115,Quebradillas Municipio,202
72143,Vega Alta Municipio,72025,Caguas Municipio,202
72063,Gurabo Municipio,72021,Bayamon Municipio,201
72051,Dorado Municipio,72013,Arecibo Municipio,200
72151,Yabucoa Municipio,72031,Carolina Municipio,200
72031,Carolina Municipio,72077,Juncos Municipio,199
72039,Ciales Municipio,72145,Vega Baja Municipio,199
72125,San German Municipio,72011,Anasco Municipio,199
72153,Yauco Municipio,72121,Sabana Grande Municipio,199
72103,Naguabo Municipio,72037,Ceiba Municipio,198
72133,Santa Isabel Municipio,72043,Coamo Municipio,198
72013,Arecibo Municipio,72143,Vega Alta Municipio,197
72027,Camuy Municipio,72081,Lares Municipio,196
72041,Cidra Municipio,72007,Aguas Buenas Municipio,196
72057,Guayama Municipio,72109,Patillas Municipio,196
72039,Ciales Municipio,72017,Barceloneta Municipio,195
72041,Cidra Municipio,72045,Comerio Municipio,195
72065,Hatillo Municipio,72141,Utuado Municipio,195
72039,Ciales Municipio,72021,Bayamon Municipio,194
72137,Toa Baja Municipio,72143,Vega Alta Municipio,194
72085,Las Piedras Municipio,72061,Guaynabo Municipio,193
72013,Arecibo Municipio,72141,Utuado Municipio,192
72029,Canovanas Municipio,72053,Fajardo Municipio,192
72041,Cidra Municipio,72009,Aibonito Municipio,192
72045,Comerio Municipio,72019,Barranquitas Municipio,192
72063,Gurabo Municipio,72041,Cidra Municipio,190
72013,Arecibo Municipio,72005,Aguadilla Municipio,188
72019,Barranquitas Municipio,72107,Orocovis Municipio,188
72021,Bayamon Municipio,72105,Naranjito Municipio,188
72121,Sabana Grande Municipio,72055,Guanica Municipio,188
72007,Aguas Buenas Municipio,72035,Cayey Municipio,187
72069,Humacao Municipio,72103,Naguabo Municipio,187
72011,Anasco Municipio,72003,Aguada Municipio,186
72119,Rio Grande Municipio,72033,Catano Municipio,186
72021,Bayamon Municipio,72013,Arecibo Municipio,185
72045,Comerio Municipio,72041,Cidra Municipio,185
72131,San Sebastian Municipio,72083,Las Marias Municipio,185
72137,Toa Baja Municipio,72145,Vega Baja Municipio,185
72149,Villalba Municipio,72133,Santa Isabel Municipio,185
72013,Arecibo Municipio,72081,Lares Municipio,184
72079,Lajas Municipio,72153,Yauco Municipio,184
72021,Bayamon Municipio,72145,Vega Baja Municipio,183
72053,Fajardo Municipio,72061,Guaynabo Municipio,183
72061,Guaynabo Municipio,72051,Dorado Municipio,183
72127,San Juan Municipio,72053,Fajardo Municipio,183
72141,Utuado Municipio,72017,Barceloneta Municipio,183
72139,Trujillo Alto Municipio,72119,Rio Grande Municipio,182
72017,Barceloneta Municipio,72143,Vega Alta Municipio,181
72127,San Juan Municipio,72035,Cayey Municipio,181
72019,Barranquitas Municipio,72035,Cayey Municipio,179
72047,Corozal Municipio,72033,Catano Municipio,177
72095,Maunabo Municipio,72109,Patillas Municipio,176
72001,Adjuntas Municipio,72081,Lares Municipio,175
72069,Humacao Municipio,72031,Carolina Municipio,175
72079,Lajas Municipio,72113,Ponce Municipio,175
72021,Bayamon Municipio,72017,Barceloneta Municipio,174
72055,Guanica Municipio,72125,San German Municipio,174
72103,Naguabo Municipio,72063,Gurabo Municipio,174
72131,San Sebastian Municipio,72003,Aguada Municipio,174
72075,Juana Diaz Municipio,72057,Guayama Municipio,173
72071,Isabela Municipio,72131,San Sebastian Municipio,172
72023,Cabo Rojo Municipio,72113,Ponce Municipio,169
72127,San Juan Municipio,72145,Vega Baja Municipio,169
72035,Cayey Municipio,72063,Gurabo Municipio,168
72055,Guanica Municipio,72097,Mayaguez Municipio,168
72085,Las Piedras Municipio,72063,Gurabo Municipio,168
72097,Mayaguez Municipio,72113,Ponce Municipio,167
72055,Guanica Municipio,72121,Sabana Grande Municipio,163
72107,Orocovis Municipio,72019,Barranquitas Municipio,163
72013,Arecibo Municipio,72051,Dorado Municipio,162
72019,Barranquitas Municipio,72025,Caguas Municipio,162
72045,Comerio Municipio,72035,Cayey Municipio,162
72071,Isabela Municipio,72127,San Juan Municipio,162
72079,Lajas Municipio,72121,Sabana Grande Municipio,161
72101,Morovis Municipio,72107,Orocovis Municipio,159
72085,Las Piedras Municipio,72031,Carolina Municipio,158
72085,Las Piedras Municipio,72103,Naguabo Municipio,158
72117,Rincon Municipio,72011,Anasco Municipio,158
72093,Maricao Municipio,72083,Las Marias Municipio,157
72101,Morovis Municipio,72137,Toa Baja Municipio,157
72105,Naranjito Municipio,72045,Comerio Municipio,157
72105,Naranjito Municipio,72051,Dorado Municipio,157
72127,San Juan Municipio,72129,San Lorenzo Municipio,157
72115,Quebradillas Municipio,72091,Manati Municipio,156
72035,Cayey Municipio,72031,Carolina Municipio,155
72091,Manati Municipio,72039,Ciales Municipio,155
72113,Ponce Municipio,72001,Adjuntas Municipio,155
72017,Barceloneta Municipio,72127,San Juan Municipio,154
72039,Ciales Municipio,72127,San Juan Municipio,154
72121,Sabana Grande Municipio,72059,Guayanilla Municipio,154
72041,Cidra Municipio,72021,Bayamon Municipio,152
72069,Humacao Municipio,72129,San Lorenzo Municipio,152
72101,Morovis Municipio,72033,Catano Municipio,152
72107,Orocovis Municipio,72101,Morovis Municipio,152
72109,Patillas Municipio,72127,San Juan Municipio,152
72011,Anasco Municipio,72125,San German Municipio,151
72015,Arroyo Municipio,72123,Salinas Municipio,150
72025,Caguas Municipio,72057,Guayama Municipio,150
72047,Corozal Municipio,72091,Manati Municipio,150
72095,Maunabo Municipio,72025,Caguas Municipio,150
72047,Corozal Municipio,72135,Toa Alta Municipio,149
72129,San Lorenzo Municipio,72021,Bayamon Municipio,149
72029,Canovanas Municipio,72087,Loiza Municipio,148
72063,Gurabo Municipio,72037,Ceiba Municipio,148
72089,Luquillo Municipio,72029,Canovanas Municipio,148
72133,Santa Isabel Municipio,72127,San Juan Municipio,148
72125,San German Municipio,72113,Ponce Municipio,147
72135,Toa Alta Municipio,72105,Naranjito Municipio,147
72035,Cayey Municipio,72085,Las Piedras Municipio,146
72019,Barranquitas Municipio,72061,Guaynabo Municipio,145
72135,Toa Alta Municipio,72091,Manati Municipio,145
72139,Trujillo Alto Municipio,72137,Toa Baja Municipio,145
72009,Aibonito Municipio,72113,Ponce Municipio,144
72115,Quebradillas Municipio,72097,Mayaguez Municipio,144
72151,Yabucoa Municipio,72063,Gurabo Municipio,144
72153,Yauco Municipio,72127,San Juan Municipio,144
72035,Cayey Municipio,72139,Trujillo Alto Municipio,143
72003,Aguada Municipio,72071,Isabela Municipio,142
72063,Gurabo Municipio,72033,Catano Municipio,142
72095,Maunabo Municipio,72151,Yabucoa Municipio,142
72099,Moca Municipio,72013,Arecibo Municipio,142
72017,Barceloneta Municipio,72021,Bayamon Municipio,141
72063,Gurabo Municipio,72085,Las Piedras Municipio,141
72113,Ponce Municipio,72061,Guaynabo Municipio,141
72125,San German Municipio,72153,Yauco Municipio,141
72021,Bayamon Municipio,72077,Juncos Municipio,140
72041,Cidra Municipio,72069,Humacao Municipio,140
72119,Rio Grande Municipio,72021,Bayamon Municipio,140
72037,Ceiba Municipio,72031,Carolina Municipio,139
72121,Sabana Grande Municipio,72079,Lajas Municipio,139
72137,Toa Baja Municipio,72017,Barceloneta Municipio,139
72137,Toa Baja Municipio,72091,Manati Municipio,139
72149,Villalba Municipio,72043,Coamo Municipio,139
72085,Las Piedras Municipio,72053,Fajardo Municipio,138
72127,San Juan Municipio,72085,Las Piedras Municipio,138
72131,San Sebastian Municipio,72011,Anasco Municipio,137
72101,Morovis Municipio,72061,Guaynabo Municipio,136
72103,Naguabo Municipio,72031,Carolina Municipio,136
72133,Santa Isabel Municipio,72035,Cayey Municipio,136
72009,Aibonito Municipio,72043,Coamo Municipio,135
72043,Coamo Municipio,72019,Barranquitas Municipio,135
72047,Corozal Municipio,72143,Vega Alta Municipio,135
72063,Gurabo Municipio,72139,Trujillo Alto Municipio,134
72117,Rincon Municipio,72003,Aguada Municipio,134
72127,San Juan Municipio,72041,Cidra Municipio,134
72097,Mayaguez Municipio,72071,Isabela Municipio,133
72017,Barceloneta Municipio,72054,Florida Municipio,132
72127,San Juan Municipio,72097,Mayaguez Municipio,132
72137,Toa Baja Municipio,72139,Trujillo Alto Municipio,132
72021,Bayamon Municipio,72097,Mayaguez Municipio,131
72105,Naranjito Municipio,72135,Toa Alta Municipio,131
72113,Ponce Municipio,72043,Coamo Municipio,131
72001,Adjuntas Municipio,72127,San Juan Municipio,130
72031,Carolina Municipio,72087,Loiza Municipio,130
72093,Maricao Municipio,72125,San German Municipio,130
72121,Sabana Grande Municipio,72093,Maricao Municipio,129
72131,San Sebastian Municipio,72013,Arecibo Municipio,129
72075,Juana Diaz Municipio,72043,Coamo Municipio,128
72097,Mayaguez Municipio,72127,San Juan Municipio,128
72081,Lares Municipio,72091,Manati Municipio,125
72097,Mayaguez Municipio,72003,Aguada Municipio,125
72105,Naranjito Municipio,72025,Caguas Municipio,125
72119,Rio Grande Municipio,72087,Loiza Municipio,125
72109,Patillas Municipio,72095,Maunabo Municipio,123
72021,Bayamon Municipio,72047,Corozal Municipio,121
72107,Orocovis Municipio,72021,Bayamon Municipio,121
72041,Cidra Municipio,72077,Juncos Municipio,120
72103,Naguabo Municipio,72025,Caguas Municipio,120
72061,Guaynabo Municipio,72145,Vega Baja Municipio,119
72029,Canovanas Municipio,72063,Gurabo Municipio,118
72091,Manati Municipio,72101,Morovis Municipio,118
72145,Vega Baja Municipio,72047,Corozal Municipio,118
72099,Moca Municipio,72125,San German Municipio,117
72113,Ponce Municipio,72025,Caguas Municipio,117
72031,Carolina Municipio,72069,Humacao Municipio,116
72041,Cidra Municipio,72063,Gurabo Municipio,116
72071,Isabela Municipio,72065,Hatillo Municipio,116
72089,Luquillo Municipio,72139,Trujillo Alto Municipio,116
72107,Orocovis Municipio,72127,San Juan Municipio,116
72117,Rincon Municipio,72099,Moca Municipio,115
72035,Cayey Municipio,72021,Bayamon Municipio,114
72077,Juncos Municipio,72029,Canovanas Municipio,114
72129,San Lorenzo Municipio,72151,Yabucoa Municipio,114
72137,Toa Baja Municipio,72013,Arecibo Municipio,114
72081,Lares Municipio,72027,Camuy Municipio,113
72103,Naguabo Municipio,72151,Yabucoa Municipio,112
72143,Vega Alta Municipio,72135,Toa Alta Municipio,112
72013,Arecibo Municipio,72054,Florida Municipio,111
72023,Cabo Rojo Municipio,72121,Sabana Grande Municipio,111
72087,Loiza Municipio,72021,Bayamon Municipio,111
72031,Carolina Municipio,72089,Luquillo Municipio,110
72037,Ceiba Municipio,72103,Naguabo Municipio,110
72043,Coamo Municipio,72025,Caguas Municipio,110
72029,Canovanas Municipio,72077,Juncos Municipio,109
72033,Catano Municipio,72139,Trujillo Alto Municipio,109
72059,Guayanilla Municipio,72127,San Juan Municipio,109
72025,Caguas Municipio,72137,Toa Baja Municipio,108
72027,Camuy Municipio,72071,Isabela Municipio,108
72059,Guayanilla Municipio,72055,Guanica Municipio,108
72073,Jayuya Municipio,72141,Utuado Municipio,108
72101,Morovis Municipio,72031,Carolina Municipio,108
72103,Naguabo Municipio,72119,Rio Grande Municipio,108
72013,Arecibo Municipio,72039,Ciales Municipio,107
72015,Arroyo Municipio,72127,San Juan Municipio,107
72061,Guaynabo Municipio,72077,Juncos Municipio,107
72069,Humacao Municipio,72035,Cayey Municipio,107
72127,San Juan Municipio,72057,Guayama Municipio,107
72013,Arecibo Municipio,72097,Mayaguez Municipio,106
72021,Bayamon Municipio,72053,Fajardo Municipio,106
72029,Canovanas Municipio,72069,Humacao Municipio,106
72043,Coamo Municipio,72033,Catano Municipio,106
72077,Juncos Municipio,72021,Bayamon Municipio,105
72107,Orocovis Municipio,72047,Corozal Municipio,105
72035,Cayey Municipio,72009,Aibonito Municipio,104
72051,Dorado Municipio,72017,Barceloneta Municipio,104
72025,Caguas Municipio,72051,Dorado Municipio,103
72025,Caguas Municipio,72133,Santa Isabel Municipio,103
72041,Cidra Municipio,72085,Las Piedras Municipio,103
72125,San German Municipio,72127,San Juan Municipio,103
72139,Trujillo Alto Municipio,72035,Cayey Municipio,103
72151,Yabucoa Municipio,72129,San Lorenzo Municipio,103
72045,Comerio Municipio,72061,Guaynabo Municipio,102
72081,Lares Municipio,72017,Barceloneta Municipio,102
72089,Luquillo Municipio,72069,Humacao Municipio,102
72121,Sabana Grande Municipio,72067,Hormigueros Municipio,102
72135,Toa Alta Municipio,72017,Barceloneta Municipio,102
72013,Arecibo Municipio,72131,San Sebastian Municipio,101
72017,Barceloneta Municipio,72065,Hatillo Municipio,101
72031,Carolina Municipio,72113,Ponce Municipio,101
72061,Guaynabo Municipio,72091,Manati Municipio,101
72071,Isabela Municipio,72091,Manati Municipio,101
72047,Corozal Municipio,72101,Morovis Municipio,100
72075,Juana Diaz Municipio,72035,Cayey Municipio,100
72035,Cayey Municipio,72033,Catano Municipio,99
72054,Florida Municipio,72021,Bayamon Municipio,99
72021,Bayamon Municipio,72085,Las Piedras Municipio,98
72061,Guaynabo Municipio,72013,Arecibo Municipio,98
72071,Isabela Municipio,72011,Anasco Municipio,98
72081,Lares Municipio,72141,Utuado Municipio,98
72129,San Lorenzo Municipio,72035,Cayey Municipio,98
72005,Aguadilla Municipio,72013,Arecibo Municipio,97
72081,Lares Municipio,72071,Isabela Municipio,97
72091,Manati Municipio,72135,Toa Alta Municipio,97
72003,Aguada Municipio,72131,San Sebastian Municipio,96
72007,Aguas Buenas Municipio,72085,Las Piedras Municipio,96
72131,San Sebastian Municipio,72127,San Juan Municipio,96
72145,Vega Baja Municipio,72031,Carolina Municipio,96
72145,Vega Baja Municipio,72101,Morovis Municipio,96
72149,Villalba Municipio,72123,Salinas Municipio,96
72055,Guanica Municipio,72111,Penuelas Municipio,95
72059,Guayanilla Municipio,72097,Mayaguez Municipio,95
72109,Patillas Municipio,72063,Gurabo Municipio,95
72119,Rio Grande Municipio,72069,Humacao Municipio,95
72035,Cayey Municipio,72133,Santa Isabel Municipio,94
72083,Las Marias Municipio,72131,San Sebastian Municipio,94
72125,San German Municipio,72005,Aguadilla Municipio,94
72133,Santa Isabel Municipio,72149,Villalba Municipio,94
72141,Utuado Municipio,72081,Lares Municipio,94
72035,Cayey Municipio,72113,Ponce Municipio,93
72061,Guaynabo Municipio,72057,Guayama Municipio,93
72135,Toa Alta Municipio,72085,Las Piedras Municipio,93
72139,Trujillo Alto Municipio,72069,Humacao Municipio,93
72001,Adjuntas Municipio,72073,Jayuya Municipio,92
72029,Canovanas Municipio,72021,Bayamon Municipio,92
72139,Trujillo Alto Municipio,72129,San Lorenzo Municipio,92
72151,Yabucoa Municipio,72061,Guaynabo Municipio,92
72059,Guayanilla Municipio,72079,Lajas Municipio,91
72077,Juncos Municipio,72151,Yabucoa Municipio,91
72109,Patillas Municipio,72035,Cayey Municipio,91
72149,Villalba Municipio,72107,Orocovis Municipio,91
72005,Aguadilla Municipio,72115,Quebradillas Municipio,90
72037,Ceiba Municipio,72025,Caguas Municipio,90
72069,Humacao Municipio,72119,Rio Grande Municipio,90
72125,San German Municipio,72055,Guanica Municipio,90
72143,Vega Alta Municipio,72031,Carolina Municipio,90
72031,Carolina Municipio,72145,Vega Baja Municipio,89
72081,Lares Municipio,72001,Adjuntas Municipio,89
72103,Naguabo Municipio,72061,Guaynabo Municipio,89
72025,Caguas Municipio,72091,Manati Municipio,88
72043,Coamo Municipio,72035,Cayey Municipio,88
72047,Corozal Municipio,72031,Carolina Municipio,88
72077,Juncos Municipio,72139,Trujillo Alto Municipio,88
72095,Maunabo Municipio,72057,Guayama Municipio,88
72123,Salinas Municipio,72061,Guaynabo Municipio,88
72011,Anasco Municipio,72099,Moca Municipio,87
72071,Isabela Municipio,72003,Aguada Municipio,87
72135,Toa Alta Municipio,72045,Comerio Municipio,87
72003,Aguada Municipio,72023,Cabo Rojo Municipio,86
72003,Aguada Municipio,72127,San Juan Municipio,86
72007,Aguas Buenas Municipio,72077,Juncos Municipio,86
72019,Barranquitas Municipio,72113,Ponce Municipio,86
72045,Comerio Municipio,72135,Toa Alta Municipio,86
72054,Florida Municipio,72065,Hatillo Municipio,86
72115,Quebradillas Municipio,72017,Barceloneta Municipio,86
72115,Quebradillas Municipio,72061,Guaynabo Municipio,86
72121,Sabana Grande Municipio,72023,Cabo Rojo Municipio,86
72123,Salinas Municipio,72075,Juana Diaz Municipio,86
72143,Vega Alta Municipio,72047,Corozal Municipio,86
72031,Carolina Municipio,72143,Vega Alta Municipio,85
72041,Cidra Municipio,72031,Carolina Municipio,85
72054,Florida Municipio,72145,Vega Baja Municipio,85
72065,Hatillo Municipio,72143,Vega Alta Municipio,85
72113,Ponce Municipio,72035,Cayey Municipio,85
72113,Ponce Municipio,72125,San German Municipio,85
72127,San Juan Municipio,72135,Toa Alta Municipio,85
72139,Trujillo Alto Municipio,72077,Juncos Municipio,85
72027,Camuy Municipio,72021,Bayamon Municipio,84
72027,Camuy Municipio,72131,San Sebastian Municipio,84
72037,Ceiba Municipio,72029,Canovanas Municipio,84
72039,Ciales Municipio,72101,Morovis Municipio,84
72101,Morovis Municipio,72025,Caguas Municipio,84
72115,Quebradillas Municipio,72081,Lares Municipio,84
72005,Aguadilla Municipio,72065,Hatillo Municipio,83
72013,Arecibo Municipio,72115,Quebradillas Municipio,83
72021,Bayamon Municipio,72035,Cayey Municipio,83
72025,Caguas Municipio,72145,Vega Baja Municipio,83
72031,Carolina Municipio,72041,Cidra Municipio,83
72045,Comerio Municipio,72105,Naranjito Municipio,83
72087,Loiza Municipio,72139,Trujillo Alto Municipio,83
72095,Maunabo Municipio,72015,Arroyo Municipio,83
72127,San Juan Municipio,72017,Barceloneta Municipio,83
72139,Trujillo Alto Municipio,72051,Dorado Municipio,83
72145,Vega Baja Municipio,72085,Las Piedras Municipio,83
72017,Barceloneta Municipio,72061,Guaynabo Municipio,82
72093,Maricao Municipio,72021,Bayamon Municipio,82
72123,Salinas Municipio,72043,Coamo Municipio,82
72149,Villalba Municipio,72057,Guayama Municipio,82
72151,Yabucoa Municipio,72053,Fajardo Municipio,82
72023,Cabo Rojo Municipio,72027,Camuy Municipio,81
72025,Caguas Municipio,72053,Fajardo Municipio,81
72057,Guayama Municipio,72133,Santa Isabel Municipio,81
72081,Lares Municipio,72097,Mayaguez Municipio,81
72111,Penuelas Municipio,72127,San Juan Municipio,81
72151,Yabucoa Municipio,72119,Rio Grande Municipio,81
72027,Camuy Municipio,72127,San Juan Municipio,80
72037,Ceiba Municipio,72061,Guaynabo Municipio,80
72039,Ciales Municipio,72051,Dorado Municipio,80
72065,Hatillo Municipio,72145,Vega Baja Municipio,80
72107,Orocovis Municipio,72105,Naranjito Municipio,80
72013,Arecibo Municipio,72113,Ponce Municipio,79
72107,Orocovis Municipio,72137,Toa Baja Municipio,79
72025,Caguas Municipio,72029,Canovanas Municipio,78
72065,Hatillo Municipio,72081,Lares Municipio,78
72089,Luquillo Municipio,72021,Bayamon Municipio,78
72021,Bayamon Municipio,72023,Cabo Rojo Municipio,77
72021,Bayamon Municipio,72081,Lares Municipio,77
72043,Coamo Municipio,72107,Orocovis Municipio,77
72075,Juana Diaz Municipio,72097,Mayaguez Municipio,77
72089,Luquillo Municipio,72061,Guaynabo Municipio,77
72101,Morovis Municipio,72039,Ciales Municipio,77
72143,Vega Alta Municipio,72017,Barceloneta Municipio,77
72005,Aguadilla Municipio,72125,San German Municipio,76
72011,Anasco Municipio,72067,Hormigueros Municipio,76
72017,Barceloneta Municipio,72051,Dorado Municipio,76
72113,Ponce Municipio,72121,Sabana Grande Municipio,76
72135,Toa Alta Municipio,72139,Trujillo Alto Municipio,76
72011,Anasco Municipio,72127,San Juan Municipio,75
72021,Bayamon Municipio,72045,Comerio Municipio,75
72025,Caguas Municipio,72123,Salinas Municipio,75
72129,San Lorenzo Municipio,72041,Cidra Municipio,75
72149,Villalba Municipio,72127,San Juan Municipio,75
72017,Barceloneta Municipio,72137,Toa Baja Municipio,74
72109,Patillas Municipio,72077,Juncos Municipio,74
72009,Aibonito Municipio,72041,Cidra Municipio,73
72041,Cidra Municipio,72119,Rio Grande Municipio,73
72045,Comerio Municipio,72033,Catano Municipio,73
72055,Guanica Municipio,72079,Lajas Municipio,73
72083,Las Marias Municipio,72081,Lares Municipio,73
72127,San Juan Municipio,72005,Aguadilla Municipio,73
72127,San Juan Municipio,72087,Loiza Municipio,73
72127,San Juan Municipio,,,73
72135,Toa Alta Municipio,72129,San Lorenzo Municipio,73
72031,Carolina Municipio,72015,Arroyo Municipio,72
72067,Hormigueros Municipio,72127,San Juan Municipio,72
72097,Mayaguez Municipio,72099,Moca Municipio,72
72105,Naranjito Municipio,72145,Vega Baja Municipio,72
72107,Orocovis Municipio,72091,Manati Municipio,72
72023,Cabo Rojo Municipio,72055,Guanica Municipio,71
72033,Catano Municipio,72051,Dorado Municipio,71
72063,Gurabo Municipio,72113,Ponce Municipio,71
72103,Naguabo Municipio,72029,Canovanas Municipio,71
72141,Utuado Municipio,72127,San Juan Municipio,71
72005,Aguadilla Municipio,72113,Ponce Municipio,70
72015,Arroyo Municipio,72075,Juana Diaz Municipio,70
72025,Caguas Municipio,72009,Aibonito Municipio,70
72081,Lares Municipio,72021,Bayamon Municipio,70
72117,Rincon Municipio,72071,Isabela Municipio,70
72151,Yabucoa Municipio,72095,Maunabo Municipio,70
72005,Aguadilla Municipio,36103,Suffolk County,69
72015,Arroyo Municipio,72025,Caguas Municipio,69
72019,Barranquitas Municipio,72043,Coamo Municipio,69
72027,Camuy Municipio,72145,Vega Baja Municipio,69
72101,Morovis Municipio,72013,Arecibo Municipio,69
72023,Cabo Rojo Municipio,72153,Yauco Municipio,68
72025,Caguas Municipio,72045,Comerio Municipio,68
72041,Cidra Municipio,72057,Guayama Municipio,68
72067,Hormigueros Municipio,72079,Lajas Municipio,68
72069,Humacao Municipio,72037,Ceiba Municipio,68
72075,Juana Diaz Municipio,72125,San German Municipio,68
72089,Luquillo Municipio,72087,Loiza Municipio,68
72127,San Juan Municipio,72047,Corozal Municipio,68
72045,Comerio Municipio,72069,Humacao Municipio,67
72097,Mayaguez Municipio,72021,Bayamon Municipio,67
72103,Naguabo Municipio,72089,Luquillo Municipio,67
72111,Penuelas Municipio,72133,Santa Isabel Municipio,67
72141,Utuado Municipio,72021,Bayamon Municipio,67
72025,Caguas Municipio,72017,Barceloneta Municipio,66
72047,Corozal Municipio,72041,Cidra Municipio,66
72059,Guayanilla Municipio,72075,Juana Diaz Municipio,66
72061,Guaynabo Municipio,72143,Vega Alta Municipio,66
72065,Hatillo Municipio,72005,Aguadilla Municipio,66
72099,Moca Municipio,72083,Las Marias Municipio,66
72145,Vega Baja Municipio,72065,Hatillo Municipio,66
72021,Bayamon Municipio,72043,Coamo Municipio,65
72071,Isabela Municipio,72117,Rincon Municipio,65
72103,Naguabo Municipio,72035,Cayey Municipio,65
72109,Patillas Municipio,72025,Caguas Municipio,65
72113,Ponce Municipio,72021,Bayamon Municipio,65
72131,San Sebastian Municipio,72021,Bayamon Municipio,65
72003,Aguada Municipio,72067,Hormigueros Municipio,64
72007,Aguas Buenas Municipio,72031,Carolina Municipio,64
72061,Guaynabo Municipio,72105,Naranjito Municipio,64
72091,Manati Municipio,72139,Trujillo Alto Municipio,64
72139,Trujillo Alto Municipio,72063,Gurabo Municipio,64
72013,Arecibo Municipio,72033,Catano Municipio,63
72075,Juana Diaz Municipio,72153,Yauco Municipio,63
72119,Rio Grande Municipio,72037,Ceiba Municipio,63
72139,Trujillo Alto Municipio,72087,Loiza Municipio,63
72011,Anasco Municipio,72113,Ponce Municipio,62
72075,Juana Diaz Municipio,72077,Juncos Municipio,62
72113,Ponce Municipio,72073,Jayuya Municipio,62
72131,San Sebastian Municipio,72091,Manati Municipio,62
72009,Aibonito Municipio,72105,Naranjito Municipio,61
72039,Ciales Municipio,72013,Arecibo Municipio,61
72041,Cidra Municipio,72123,Salinas Municipio,61
72054,Florida Municipio,72143,Vega Alta Municipio,61
72061,Guaynabo Municipio,72085,Las Piedras Municipio,61
72063,Gurabo Municipio,72053,Fajardo Municipio,61
72111,Penuelas Municipio,72035,Cayey Municipio,61
72007,Aguas Buenas Municipio,72069,Humacao Municipio,60
72025,Caguas Municipio,72013,Arecibo Municipio,60
72031,Carolina Municipio,42043,Dauphin County,60
72075,Juana Diaz Municipio,72031,Carolina Municipio,60
72107,Orocovis Municipio,72061,Guaynabo Municipio,60
72129,San Lorenzo Municipio,72139,Trujillo Alto Municipio,60
72133,Santa Isabel Municipio,72025,Caguas Municipio,60
72141,Utuado Municipio,72113,Ponce Municipio,60
72005,Aguadilla Municipio,72117,Rincon Municipio,59
72021,Bayamon Municipio,72019,Barranquitas Municipio,59
72021,Bayamon Municipio,72117,Rincon Municipio,59
72087,Loiza Municipio,72025,Caguas Municipio,59
72099,Moca Municipio,72021,Bayamon Municipio,59
72113,Ponce Municipio,72031,Carolina Municipio,59
72123,Salinas Municipio,72041,Cidra Municipio,59
72127,San Juan Municipio,72101,Morovis Municipio,59
72149,Villalba Municipio,72019,Barranquitas Municipio,59
72153,Yauco Municipio,72079,Lajas Municipio,59
72031,Carolina Municipio,72111,Penuelas Municipio,58
72035,Cayey Municipio,72077,Juncos Municipio,58
72045,Comerio Municipio,72137,Toa Baja Municipio,58
72054,Florida Municipio,72051,Dorado Municipio,58
72063,Gurabo Municipio,72091,Manati Municipio,58
72093,Maricao Municipio,72121,Sabana Grande Municipio,58
72107,Orocovis Municipio,72013,Arecibo Municipio,58
72113,Ponce Municipio,72041,Cidra Municipio,58
72117,Rincon Municipio,72023,Cabo Rojo Municipio,58
72137,Toa Baja Municipio,72069,Humacao Municipio,58
72015,Arroyo Municipio,72031,Carolina Municipio,57
72085,Las Piedras Municipio,72021,Bayamon Municipio,57
72099,Moca Municipio,72117,Rincon Municipio,57
72135,Toa Alta Municipio,72101,Morovis Municipio,57
72005,Aguadilla Municipio,72031,Carolina Municipio,56
72021,Bayamon Municipio,72029,Canovanas Municipio,56
72054,Florida Municipio,72101,Morovis Municipio,56
72085,Las Piedras Municipio,72033,Catano Municipio,56
72097,Mayaguez Municipio,72153,Yauco Municipio,56
72111,Penuelas Municipio,72057,Guayama Municipio,56
72133,Santa Isabel Municipio,72031,Carolina Municipio,56
72005,Aguadilla Municipio,72131,San Sebastian Municipio,55
72025,Caguas Municipio,72019,Barranquitas Municipio,55
72087,Loiza Municipio,72089,Luquillo Municipio,55
72099,Moca Municipio,72025,Caguas Municipio,55
72099,Moca Municipio,72054,Florida Municipio,55
72107,Orocovis Municipio,72035,Cayey Municipio,55
72119,Rio Grande Municipio,72077,Juncos Municipio,55
72135,Toa Alta Municipio,72013,Arecibo Municipio,55
72135,Toa Alta Municipio,72043,Coamo Municipio,55
72013,Arecibo Municipio,72137,Toa Baja Municipio,54
72021,Bayamon Municipio,72119,Rio Grande Municipio,54
72033,Catano Municipio,72013,Arecibo Municipio,54
72071,Isabela Municipio,72021,Bayamon Municipio,54
72097,Mayaguez Municipio,72057,Guayama Municipio,54
